date,confirmed
2020/1/25,1
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,2
2020/1/30,0
2020/1/31,0
2020/2/1,1
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,3
2020/2/28,0
2020/2/29,0
2020/3/1,2
2020/3/2,0
2020/3/3,0
2020/3/4,1
2020/3/5,0
2020/3/6,0
2020/3/7,1
2020/3/8,1
2020/3/9,3
2020/3/10,3
2020/3/11,3
2020/3/12,6
2020/3/13,9
2020/3/14,13
2020/3/15,8
2020/3/16,14
2020/3/17,23
2020/3/18,27
2020/3/19,29
2020/3/20,28
2020/3/21,51
2020/3/22,67
2020/3/23,59
2020/3/24,56
2020/3/25,55
2020/3/26,54
2020/3/27,54
2020/3/28,111
2020/3/29,84
2020/3/30,52
2020/3/31,96
2020/4/1,51
2020/4/2,68
2020/4/3,49
2020/4/4,30
2020/4/5,20
2020/4/6,23
2020/4/7,33
2020/4/8,21
2020/4/9,16
2020/4/10,13
2020/4/11,24
2020/4/12,3
2020/4/13,13
2020/4/14,10
2020/4/15,8
2020/4/16,2
2020/4/17,1
2020/4/18,17
2020/4/19,9
2020/4/20,1
2020/4/21,7
2020/4/22,0
2020/4/23,1
2020/4/24,6
2020/4/25,3
2020/4/26,3
2020/4/27,0
2020/4/28,2
2020/4/29,3
2020/4/30,7
2020/5/1,3
2020/5/2,7
2020/5/3,13
2020/5/4,22
2020/5/5,17
2020/5/6,17
2020/5/7,15
2020/5/8,14
2020/5/9,10
2020/5/10,10
2020/5/11,7
2020/5/12,13
2020/5/13,5
2020/5/14,9
2020/5/15,20
2020/5/16,11
2020/5/17,7
2020/5/18,6
2020/5/19,6
2020/5/20,7
2020/5/21,1
2020/5/22,12
2020/5/23,9
2020/5/24,1
2020/5/25,2
2020/5/26,5
2020/5/27,8
2020/5/28,10
2020/5/29,6
2020/5/30,11
2020/5/31,4
2020/6/1,4
2020/6/2,10
2020/6/3,7
2020/6/4,8
2020/6/5,3
2020/6/6,0
2020/6/7,4
2020/6/8,2
2020/6/9,0
2020/6/10,4
2020/6/11,8
2020/6/12,4
2020/6/13,8
2020/6/14,9
2020/6/15,12
2020/6/16,9
2020/6/17,21
2020/6/18,18
2020/6/19,12
2020/6/20,25
2020/6/21,19
2020/6/22,11
2020/6/23,17
2020/6/24,20
2020/6/25,33
2020/6/26,30
2020/6/27,40
2020/6/28,41
2020/6/29,71
2020/6/30,60
2020/7/1,72
2020/7/2,72
2020/7/3,65
2020/7/4,101
2020/7/5,67
2020/7/6,124
2020/7/7,164
2020/7/8,118
2020/7/9,156
2020/7/10,281
2020/7/11,181
2020/7/12,239
2020/7/13,168
2020/7/14,257
2020/7/15,224
2020/7/16,302
2020/7/17,415
2020/7/18,188
2020/7/19,343
2020/7/20,246
2020/7/21,347
2020/7/22,450
2020/7/23,386
2020/7/24,280
2020/7/25,339
2020/7/26,437
2020/7/27,515
2020/7/28,353
2020/7/29,255
2020/7/30,694
2020/7/31,579
2020/8/1,354
2020/8/2,626
2020/8/3,380
2020/8/4,398
2020/8/5,700
2020/8/6,434
2020/8/7,398
2020/8/8,416
2020/8/9,376
2020/8/10,298
2020/8/11,294
2020/8/12,395
2020/8/13,217
2020/8/14,371
2020/8/15,283
2020/8/16,247
2020/8/17,263
2020/8/18,211
2020/8/19,208
2020/8/20,237
2020/8/21,169
2020/8/22,177
2020/8/23,202
2020/8/24,99
2020/8/25,134
2020/8/26,144
2020/8/27,106
2020/8/28,108
2020/8/29,81
2020/8/30,112
2020/8/31,65
2020/9/1,58
2020/9/2,86
2020/9/3,112
2020/9/4,79
2020/9/5,64
2020/9/6,59
2020/9/7,36
2020/9/8,41
2020/9/9,73
2020/9/10,40
2020/9/11,39
2020/9/12,33
2020/9/13,35
2020/9/14,37
2020/9/15,39
2020/9/16,32
2020/9/17,27
2020/9/18,42
2020/9/19,22
2020/9/20,8
2020/9/21,9
2020/9/22,25
2020/9/23,24
2020/9/24,5
2020/9/25,13
2020/9/26,11
2020/9/27,16
2020/9/28,4
2020/9/29,9
2020/9/30,11
2020/10/1,14
2020/10/2,8
2020/10/3,6
2020/10/4,12
2020/10/5,11
2020/10/6,13
2020/10/7,4
2020/10/8,10
2020/10/9,10
2020/10/10,12
2020/10/11,12
2020/10/12,14
2020/10/13,10
2020/10/14,6
2020/10/15,4
2020/10/16,2
2020/10/17,0
2020/10/18,-2
2020/10/19,4
2020/10/20,2
2020/10/21,2
2020/10/22,6
2020/10/23,1
2020/10/24,6
2020/10/25,7
2020/10/26,-2
2020/10/27,0
2020/10/28,1
2020/10/29,2
2020/10/30,3
2020/10/31,0
2020/11/1,-1
2020/11/2,-1
2020/11/3,0
2020/11/4,0
2020/11/5,0
2020/11/6,0
2020/11/7,0
2020/11/8,0