code,continent,name,total_cases,new_cases,total_deaths,new_deaths,population,population_density
AFG,Asia,Afghanistan,42033,58,1556,2,38928341,54.422
ALB,Europe,Albania,23210,489,549,6,2877800,104.871
DZA,Africa,Algeria,60800,1273,2024,25,43851043,17.348
AND,Europe,Andorra,5135,0,75,0,77265,163.755
AGO,Africa,Angola,12102,289,299,3,32866268,23.89
AIA,North America,Anguilla,3,0,,0,15002,
ATG,North America,Antigua and Barbuda,130,0,3,0,97928,231.845
ARG,South America,Argentina,1228801,11786,33136,370,45195777,16.177
ARM,Asia,Armenia,104249,2476,1533,27,2963234,102.931
ABW,North America,Aruba,4578,14,39,0,106766,584.8
AUS,Oceania,Australia,27645,12,907,0,25499881,3.202
AUT,Europe,Austria,138604,6324,1295,44,9006400,106.749
AZE,Asia,Azerbaijan,60873,0,794,0,10139175,119.309
BHS,North America,Bahamas,6882,0,150,0,393248,39.497
BHR,Asia,Bahrain,83023,237,328,0,1701583,1935.907
BGD,Asia,Bangladesh,417475,1469,6036,15,164689383,1265.036
BRB,North America,Barbados,242,3,7,0,287371,664.463
BLR,Europe,Belarus,104286,991,1001,3,9449321,46.858
BLZ,North America,Belize,4016,39,67,1,397621,16.426
BEN,Africa,Benin,2745,0,43,0,12123198,99.11
BMU,North America,Bermuda,209,2,9,0,62273,1308.82
BTN,Asia,Bhutan,358,0,,0,771612,21.188
BOL,South America,Bolivia,142343,142,8781,13,11673029,10.202
BES,North America,Bonaire Sint Eustatius and Saba,154,0,3,0,26221,
BIH,Europe,Bosnia and Herzegovina,59427,1921,1457,55,3280815,68.496
BWA,Africa,Botswana,7835,0,27,0,2351625,4.044
BRA,South America,Brazil,5590025,0,161106,0,212559409,25.04
VGB,North America,British Virgin Islands,72,0,1,0,30237,207.973
BRN,Asia,Brunei,148,0,3,0,437483,81.347
BGR,Europe,Bulgaria,72184,3839,1576,58,6948445,65.18
BFA,Africa,Burkina Faso,2562,12,67,0,20903278,70.151
BDI,Africa,Burundi,605,5,1,0,11890781,423.062
KHM,Asia,Cambodia,294,2,,0,16718971,90.672
CMR,Africa,Cameroon,22103,0,429,0,26545864,50.885
CAN,North America,Canada,255809,4471,10436,55,37742157,4.037
CPV,Africa,Cape Verde,9224,75,100,3,555988,135.58
CYM,North America,Cayman Islands,245,1,1,0,65720,256.496
CAF,Africa,Central African Republic,4875,0,62,0,4829764,7.479
TCD,Africa,Chad,1538,9,99,0,16425859,11.833
CHL,South America,Chile,518390,1808,14450,46,19116209,24.282
CHN,Asia,China,91504,33,4739,0,1439323774,147.674
COL,South America,Colombia,1127733,9756,32405,196,50882884,44.223
COM,Africa,Comoros,557,0,7,0,869595,437.352
COG,Africa,Congo,5379,0,98,6,5518092,15.405
CRI,North America,Costa Rica,115417,1050,1453,9,5094114,96.079
CIV,Africa,Cote d'Ivoire,20801,12,126,0,26378275,76.399
HRV,Europe,Croatia,62305,2890,717,34,4105268,73.726
CUB,North America,Cuba,7228,44,130,1,11326616,110.408
CUW,North America,Curacao,1053,23,2,0,164100,362.644
CYP,Europe,Cyprus,5557,224,27,0,875899,127.657
CZE,Europe,Czech Republic,403497,11552,4526,196,10708982,137.176
COD,Africa,Democratic Republic of Congo,11549,64,315,1,89561404,35.879
DNK,Europe,Denmark,53180,1427,738,5,5792203,136.52
DJI,Africa,Djibouti,5604,5,61,0,988002,41.285
DMA,North America,Dominica,42,0,,0,71991,98.567
DOM,North America,Dominican Republic,129300,476,2261,1,10847904,222.873
ECU,South America,Ecuador,172508,725,12761,31,17643060,66.939
EGY,Africa,Egypt,108754,224,6343,14,102334403,97.999
SLV,North America,El Salvador,35145,363,1006,4,6486201,307.811
GNQ,Africa,Equatorial Guinea,5092,0,85,0,1402985,45.194
ERI,Africa,Eritrea,484,0,,0,3546427,44.304
EST,Europe,Estonia,5705,241,73,0,1326539,31.033
ETH,Africa,Ethiopia,98746,355,1512,4,114963583,104.957
FRO,Europe,Faeroe Islands,495,0,,0,48865,35.308
FLK,South America,Falkland Islands,13,0,,0,3483,
FJI,Oceania,Fiji,34,0,2,0,896444,49.562
FIN,Europe,Finland,17385,266,362,1,5540718,18.136
FRA,Europe,France,1661853,60486,39865,828,65273512,122.578
PYF,Oceania,French Polynesia,9754,467,39,0,280904,77.324
GAB,Africa,Gabon,9022,17,55,0,2225728,7.859
GMB,Africa,Gambia,3681,1,120,0,2416664,207.566
GEO,Asia,Georgia,54852,2859,441,18,3989175,65.032
DEU,Europe,Germany,642488,23399,11226,130,83783945,237.016
GHA,Africa,Ghana,48788,0,320,0,31072945,126.719
GIB,Europe,Gibraltar,770,16,,0,33691,3457.1
GRC,Europe,Greece,52254,2447,715,13,10423056,83.479
GRL,North America,Greenland,17,0,,0,56772,0.137
GRD,North America,Grenada,30,0,,0,112519,317.132
GUM,Oceania,Guam,5113,109,89,4,168783,304.128
GTM,North America,Guatemala,110502,653,3794,28,17915567,157.834
GGY,Europe,Guernsey,278,4,13,0,67052,
GIN,Africa,Guinea,12363,0,73,0,13132792,51.755
GNB,Africa,Guinea-Bissau,2413,0,41,0,1967998,66.191
GUY,South America,Guyana,4457,64,133,3,786559,3.952
HTI,North America,Haiti,9127,18,232,0,11402533,398.448
HND,North America,Honduras,99576,229,2741,5,9904608,82.805
HUN,Europe,Hungary,104943,5318,2357,107,9660350,108.043
ISL,Europe,Iceland,5039,22,18,0,341250,3.404
IND,Asia,India,8462080,50356,125562,577,1380004385,450.419
IDN,Asia,Indonesia,429574,3778,14442,94,273523621,145.725
IRN,Asia,Iran,663800,8864,37409,424,83992953,49.831
IRQ,Asia,Iraq,493139,3568,11244,69,40222503,88.125
IRL,Europe,Ireland,64538,492,1940,7,4937796,69.874
IMN,Europe,Isle of Man,357,0,24,0,85032,147.872
ISR,Asia,Israel,318402,291,2644,5,8655541,402.606
ITA,Europe,Italy,862681,37802,40638,446,60461828,205.859
JAM,North America,Jamaica,9426,53,218,1,2961161,266.879
JPN,Asia,Japan,105914,1132,1809,3,126476458,347.778
JEY,Europe,Jersey,643,11,32,0,101073,
JOR,Asia,Jordan,101248,5384,1136,67,10203140,109.285
KAZ,Asia,Kazakhstan,154321,774,2265,2,18776707,6.681
KEN,Africa,Kenya,60704,1109,1093,21,53771300,87.324
OWID_KOS,Europe,Kosovo,22934,728,732,12,1932774,168.155
KWT,Asia,Kuwait,130463,825,804,5,4270563,232.128
KGZ,Asia,Kyrgyzstan,62304,556,1172,2,6524191,32.333
LAO,Asia,Laos,24,0,,0,7275556,29.715
LVA,Europe,Latvia,7476,357,95,7,1886202,31.212
LBN,Asia,Lebanon,91328,2142,700,17,6825442,594.561
LSO,Africa,Lesotho,1967,4,44,0,2142252,73.562
LBR,Africa,Liberia,1442,2,82,0,5057677,49.127
LBY,Africa,Libya,66444,1004,915,8,6871287,3.623
LIE,Europe,Liechtenstein,753,50,3,0,38137,237.012
LTU,Europe,Lithuania,20747,1656,192,6,2722291,45.135
LUX,Europe,Luxembourg,21806,659,180,3,625976,231.447
MKD,Europe,Macedonia,37499,1127,1096,12,2083380,82.6
MDG,Africa,Madagascar,17213,102,249,5,27691019,43.951
MWI,Africa,Malawi,5942,2,184,0,19129955,197.519
MYS,Asia,Malaysia,38189,1755,279,2,32365998,96.254
MDV,Asia,Maldives,11932,39,39,1,540542,1454.433
MLI,Africa,Mali,3657,24,137,0,20250834,15.196
MLT,Europe,Malta,6893,129,73,3,441539,1454.037
MHL,Oceania,Marshall Islands,1,0,,0,59194,295.15
MRT,Africa,Mauritania,7790,27,165,0,4649660,4.289
MUS,Africa,Mauritius,452,0,10,0,1271767,622.962
MEX,North America,Mexico,955128,5931,94323,551,128932753,66.444
MDA,Europe,Moldova,80501,935,1882,16,4033963,123.655
MCO,Europe,Monaco,454,24,1,0,39244,19347.5
MNG,Asia,Mongolia,357,1,,0,3278292,1.98
MNE,Europe,Montenegro,22079,546,328,0,628062,46.28
MSR,North America,Montserrat,13,0,1,0,4999,
MAR,Africa,Morocco,246349,5398,4127,68,36910558,80.08
MOZ,Africa,Mozambique,13485,94,99,2,31255435,37.728
MMR,Asia,Myanmar,59277,1342,1376,24,54409794,81.721
NAM,Africa,Namibia,13143,53,133,0,2540916,3.078
NPL,Asia,Nepal,188883,2909,1070,18,29136808,204.43
NLD,Europe,Netherlands,397255,7232,7877,118,17134873,508.544
NCL,Oceania,New Caledonia,29,0,,0,285491,15.342
NZL,Oceania,New Zealand,1620,2,25,0,4822233,18.206
NIC,North America,Nicaragua,5591,0,157,0,6624554,51.667
NER,Africa,Niger,1230,4,69,0,24206636,16.955
NGA,Africa,Nigeria,63731,223,1154,0,206139587,209.588
MNP,Oceania,Northern Mariana Islands,98,0,2,0,57557,119.878
NOR,Europe,Norway,23225,650,285,1,5421242,14.462
OMN,Asia,Oman,117167,0,1286,0,5106622,14.98
PAK,Asia,Pakistan,341753,1502,6943,20,220892331,255.573
PSE,Asia,Palestine,69181,681,583,3,5101416,778.202
PAN,North America,Panama,137760,1193,2770,14,4314768,55.133
PNG,Oceania,Papua New Guinea,597,0,7,0,8947027,18.22
PRY,South America,Paraguay,66481,703,1472,10,7132530,17.144
PER,South America,Peru,917503,2781,34783,53,32971846,25.129
PHL,Asia,Philippines,391809,2084,7461,52,109581085,351.873
POL,Europe,Poland,493765,27086,7287,445,37846605,124.027
PRT,Europe,Portugal,166900,5550,2792,52,10196707,112.371
PRI,North America,Puerto Rico,70519,1103,862,7,2860840,376.232
QAT,Asia,Qatar,133811,192,232,0,2881060,227.322
ROU,Europe,Romania,287062,10260,7663,123,19237682,85.129
RUS,Europe,Russia,1733440,20582,29887,378,145934460,8.823
RWA,Africa,Rwanda,5208,16,36,0,12952209,494.869
KNA,North America,Saint Kitts and Nevis,19,0,,0,53192,212.865
LCA,North America,Saint Lucia,110,4,,0,183629,293.187
VCT,North America,Saint Vincent and the Grenadines,76,0,,0,110947,281.787
SMR,Europe,San Marino,1043,0,42,0,33938,556.667
STP,Africa,Sao Tome and Principe,960,2,16,0,219161,212.841
SAU,Asia,Saudi Arabia,349822,436,5506,17,34813867,15.322
SEN,Africa,Senegal,15676,36,326,0,16743930,82.328
SRB,Europe,Serbia,57958,2282,871,10,6804596,80.291
SYC,Africa,Seychelles,158,0,,0,98340,208.354
SLE,Africa,Sierra Leone,2373,2,74,0,7976985,104.7
SGP,Asia,Singapore,58047,4,28,0,5850343,7915.731
SXM,North America,Sint Maarten (Dutch part),886,9,23,0,42882,1209.088
SVK,Europe,Slovakia,71088,2354,317,31,5459643,113.128
SVN,Europe,Slovenia,42658,1564,353,12,2078932,102.619
SLB,Oceania,Solomon Islands,13,0,,0,686878,21.841
SOM,Africa,Somalia,4229,0,107,0,15893219,23.5
ZAF,Africa,South Africa,734175,1761,19749,72,59308690,46.754
KOR,Asia,South Korea,27284,89,477,1,51269183,527.967
SSD,Africa,South Sudan,2955,10,59,0,11193729,
LKA,Asia,Sri Lanka,12970,400,30,1,21413250,341.955
SDN,Africa,Sudan,13943,0,837,0,43849269,23.258
SUR,South America,Suriname,5227,2,112,0,586634,3.612
SWZ,Africa,Swaziland,5976,9,117,0,1160164,79.492
CHE,Europe,Switzerland,211160,9359,2404,70,8654618,214.243
SYR,Asia,Syria,6102,62,309,4,17500657,
TWN,Asia,Taiwan,573,0,7,0,23816775,
TJK,Asia,Tajikistan,11256,37,83,0,9537642,64.281
TZA,Africa,Tanzania,509,0,21,0,59734213,64.699
THA,Asia,Thailand,3830,12,60,0,69799978,135.132
TLS,Asia,Timor,30,0,,0,1318442,87.176
TGO,Africa,Togo,2460,18,57,0,8278737,143.366
TTO,North America,Trinidad and Tobago,5798,24,111,0,1399491,266.886
TUN,Africa,Tunisia,66334,0,1577,0,11818618,74.228
TUR,Asia,Turkey,389256,2436,10722,83,84339067,104.914
TCA,North America,Turks and Caicos Islands,707,2,6,0,38718,37.312
UGA,Africa,Uganda,13852,284,131,14,45741000,213.759
UKR,Europe,Ukraine,440188,9721,8125,201,43733759,77.39
ARE,Asia,United Arab Emirates,139891,1292,510,2,9890400,112.442
GBR,Europe,United Kingdom,1146484,23287,48475,355,67886004,272.898
USA,North America,United States,9739545,130623,236099,1162,331002647,35.608
VIR,North America,United States Virgin Islands,1390,0,23,0,104423,306.48
URY,South America,Uruguay,3370,61,61,0,3473727,19.751
UZB,Asia,Uzbekistan,68139,0,579,0,33469199,76.134
VAT,Europe,Vatican,26,0,,0,809,
VEN,South America,Venezuela,94305,384,821,2,28435943,36.253
VNM,Asia,Vietnam,1213,6,35,0,97338583,308.127
WLF,Oceania,Wallis and Futuna,1,0,,0,11246,
ESH,Africa,Western Sahara,766,0,1,0,597330,
YEM,Asia,Yemen,2070,3,602,0,29825968,53.508
ZMB,Africa,Zambia,16819,49,349,0,18383956,22.995
ZWE,Africa,Zimbabwe,8471,27,250,2,14862927,42.729